"","Date","Time","Latitude","Longitude","Type","Depth","Depth.Error","Depth.Seismic.Stations","Magnitude","Magnitude.Type","Magnitude.Error","Magnitude.Seismic.Stations","Azimuthal.Gap","Horizontal.Distance","Horizontal.Error","Root.Mean.Square","ID","Source","Location.Source","Magnitude.Source","Status","Year"
"20037","04/04/2010","22:50:17",32.0986667,-115.0481667,"Earthquake",10.011,31.61,5,5.7,"MW",NA,4,296,0.7811,3.14,0.33,"CI31957759","CI","CI","CI","Reviewed","2010"
"20123","06/15/2010","04:26:58",32.705,-115.9113333,"Earthquake",8.756,0.83,45,5.72,"MW",NA,7,71,0.05832,0.41,0.2,"CI14745580","CI","CI","CI","Reviewed","2010"
"21765","05/24/2013","03:47:08",40.1918,-121.0595,"Earthquake",9.7,0.7,NA,5.7,"MW",NA,5,68.4,0.08084838,0.3,0.08,"NC71996906","NC","NC","NC","Reviewed","2013"
"21841","08/01/2013","20:01:43",-15.2443,-173.5006,"Earthquake",31.65,3.1,NA,6,"MWW",NA,NA,38,2.132,NA,0.67,"USB000ITMF","US","US","US","Reviewed","2013"
"21842","08/04/2013","03:28:51",38.2133,141.8621,"Earthquake",56,1.7,NA,5.8,"MWW",NA,NA,18,3.355,NA,0.67,"USB000IV4W","US","US","US","Reviewed","2013"
"21843","08/04/2013","13:22:28",49.6614,-127.4286,"Earthquake",10,1.7,NA,5.5,"MWB",0.071,NA,33,2.563,NA,0.69,"USB000IV7T","US","US","US","Reviewed","2013"
"21844","08/04/2013","15:56:35",46.9925,145.2582,"Earthquake",375.01,3.2,NA,5.8,"MWW",NA,NA,10,1.71,NA,0.73,"USB000IV94","US","US","US","Reviewed","2013"
"21845","08/06/2013","05:57:43",14.1526,-91.5958,"Earthquake",53.88,4,NA,5.6,"MWB",0.045,NA,55,0.991,NA,1.11,"USB000IW7Z","US","US","US","Reviewed","2013"
"21846","08/06/2013","10:41:31",-22.5035,173.8052,"Earthquake",10.04,1.7,NA,5.8,"MWW",NA,NA,67,5.454,NA,0.84,"USB000IWAZ","US","US","US","Reviewed","2013"
"21847","08/06/2013","16:46:18",-16.8575,167.3184,"Earthquake",10,1.7,NA,5.7,"MWW",NA,NA,54,4.647,NA,1.29,"USB000IWI8","US","US","US","Reviewed","2013"
"21848","08/06/2013","17:21:56",-16.9065,167.373,"Earthquake",13.54,3.2,NA,5.7,"MWW",NA,NA,27,4.592,NA,1.28,"USB000IWJV","US","US","US","Reviewed","2013"
"21849","08/11/2013","21:23:41",30.0464,97.9565,"Earthquake",6,1,NA,5.7,"MWW",NA,NA,12,5.94,NA,0.94,"USB000J0T5","US","US","US","Reviewed","2013"
"21850","08/12/2013","00:53:44",-7.1354,129.8088,"Earthquake",95,1.8,NA,6,"MWW",NA,NA,13,1.7,NA,0.68,"USB000J0VL","US","US","US","Reviewed","2013"
"21851","08/12/2013","04:16:48",-30.6285,-179.678,"Earthquake",340.6,3.9,NA,6.1,"MWW",NA,NA,21,7.116,NA,1.01,"USB000J0YL","US","US","US","Reviewed","2013"
"21852","08/12/2013","05:18:59",10.4577,-86.9354,"Earthquake",22.31,3.6,NA,5.5,"MWC",NA,NA,49,1.957,NA,0.92,"USB000J0ZB","US","US","US_GCMT","Reviewed","2013"
"21853","08/12/2013","09:49:32",-5.3962,-81.9268,"Earthquake",10,1.7,NA,6.2,"MWW",NA,NA,26,3.913,NA,1.27,"USB000J10U","US","US","US","Reviewed","2013"
"21854","08/12/2013","18:03:33",-56.5243,-142.3211,"Earthquake",10,1.8,NA,5.7,"MWW",NA,NA,64,33.635,NA,1.26,"USB000J25K","US","US","US","Reviewed","2013"
"21855","08/13/2013","15:43:15",5.7732,-78.1999,"Earthquake",12,1.7,NA,6.7,"MWW",NA,NA,22,3.741,NA,0.84,"USB000J275","US","US","US","Reviewed","2013"
"21860","08/17/2013","16:32:31",-34.8853,54.0927,"Earthquake",10,1.8,NA,6.1,"MWW",NA,NA,22,14.84,NA,0.83,"USB000J5KI","US","US","US","Reviewed","2013"
"21861","08/21/2013","04:43:18",-22.2977,171.6697,"Earthquake",92,1.6,NA,5.7,"MWW",NA,NA,66,3.476,NA,1.21,"USB000J7ZM","US","US","US","Reviewed","2013"
"21862","08/21/2013","12:38:30",16.8784,-99.498,"Earthquake",21,1.7,NA,6.2,"MWW",NA,NA,45,0.755,NA,1,"USB000J83T","US","US","US","Reviewed","2013"
"21863","08/23/2013","08:34:07",-22.2741,-68.5927,"Earthquake",111,1.8,NA,5.8,"MWW",NA,NA,35,0.447,NA,1.13,"USB000JAF4","US","US","US","Reviewed","2013"
"21864","08/24/2013","08:40:28",-22.5179,-175.2417,"Earthquake",5,1.8,NA,5.8,"MWW",NA,NA,45,9.172,NA,0.93,"USB000JB6E","US","US","US","Reviewed","2013"
"21865","08/25/2013","16:07:15",-33.4611,57.0446,"Earthquake",4.73,3.1,NA,5.8,"MWW",NA,NA,61,12.297,NA,0.71,"USB000JBNG","US","US","US","Reviewed","2013"
"21866","08/28/2013","02:54:41",-27.7829,179.6335,"Earthquake",478,1.6,NA,6.2,"MWW",NA,NA,22,2.592,NA,1.01,"USB000JCFU","US","US","US","Reviewed","2013"
"21867","08/29/2013","13:52:27",-19.3503,-179.136,"Earthquake",662.37,3.9,NA,5.7,"MWW",NA,NA,33,8.705,NA,0.97,"USB000JD4N","US","US","US","Reviewed","2013"
"21868","08/30/2013","02:11:02",-4.4412,151.6112,"Earthquake",203,1.8,NA,5.8,"MWW",NA,NA,15,0.604,NA,0.69,"USB000JDLN","US","US","US","Reviewed","2013"
"21869","08/30/2013","16:25:02",51.537,-175.2297,"Earthquake",29,1.8,NA,7,"MWW",NA,NA,53,0.624,NA,0.89,"USB000JDT7","US","US","US","Reviewed","2013"
"21871","08/31/2013","00:04:18",28.2425,99.3502,"Earthquake",8,1.7,NA,5.6,"MWW",NA,NA,20,4.341,NA,0.83,"USB000JE5N","US","US","US","Reviewed","2013"
"21872","08/31/2013","06:38:36",51.2381,-174.9407,"Earthquake",18,1.7,NA,6,"MWW",NA,NA,70,0.968,NA,1.17,"USB000JE9F","US","US","US","Reviewed","2013"
"21873","08/31/2013","06:43:54",51.3674,-175.2847,"Earthquake",25.16,3.2,NA,5.5,"MWC",NA,NA,71,1.013,NA,1.49,"USB000JE9L","US","US","US_GCMT","Reviewed","2013"
"21874","09/01/2013","11:52:30",-7.44,128.2209,"Earthquake",112,1.7,NA,6.5,"MWW",NA,NA,11,3.097,NA,1.12,"USB000JELF","US","US","US","Reviewed","2013"
"21875","09/01/2013","19:50:40",-29.0334,-176.4039,"Earthquake",10.02,1.8,NA,5.7,"MWW",NA,NA,47,16.483,NA,0.99,"USB000JESH","US","US","US","Reviewed","2013"
"21876","09/02/2013","02:51:13",42.1989,133.6656,"Earthquake",445,1.9,NA,5.7,"MWW",NA,NA,25,2.345,NA,0.74,"USB000JEY1","US","US","US","Reviewed","2013"
"21877","09/02/2013","04:30:17",-6.6272,155.1351,"Earthquake",35,1.8,NA,5.9,"MWW",NA,NA,12,3.821,NA,1.03,"USB000JEZ7","US","US","US","Reviewed","2013"
"21878","09/03/2013","20:19:06",51.244,-130.3971,"Earthquake",2.73,3.7,NA,6.1,"MWW",NA,NA,44,1.704,NA,0.93,"USB000JG6B","US","US","US","Reviewed","2013"
"21879","09/03/2013","22:29:31",51.3277,-130.2195,"Earthquake",9.85,2.7,NA,5.5,"MWR",NA,NA,140,1.565,NA,1.22,"USB000JGCI","US","US","US_PGC","Reviewed","2013"
"21880","09/04/2013","00:18:23",29.9377,138.8325,"Earthquake",402,1.8,NA,6.5,"MWW",NA,NA,26,3.276,NA,1.02,"USB000JGFC","US","US","US","Reviewed","2013"
"21881","09/04/2013","00:23:11",51.1832,-130.2245,"Earthquake",9.92,2.5,NA,6,"MWW",NA,NA,70,1.431,NA,0.87,"USB000JGFH","US","US","US","Reviewed","2013"
"21882","09/04/2013","02:32:31",51.5573,-174.7671,"Earthquake",20,1.7,NA,6.5,"MWW",NA,NA,24,0.735,NA,1.07,"USB000JGJU","US","US","US","Reviewed","2013"
"21884","09/04/2013","06:16:50",51.5733,-174.7888,"Earthquake",21,1.8,NA,5.7,"MWW",NA,NA,32,0.728,NA,1.25,"USB000JGUU","US","US","US","Reviewed","2013"
"21885","09/04/2013","06:27:04",51.573,-174.8537,"Earthquake",17,1.7,NA,6,"MWW",NA,NA,46,0.749,NA,1.13,"USB000JGUZ","US","US","US","Reviewed","2013"
"21886","09/05/2013","04:01:36",15.1836,-45.232,"Earthquake",10,1.6,NA,6,"MWW",NA,NA,24,14.042,NA,0.8,"USB000JI6R","US","US","US","Reviewed","2013"
"21888","09/05/2013","12:29:15",10.5988,-86.0997,"Earthquake",19,1.8,NA,5.9,"MWW",NA,NA,35,1.169,NA,1.43,"USB000JIGI","US","US","US","Reviewed","2013"
"21889","09/06/2013","02:28:10",-47.0447,33.4751,"Earthquake",10,2.4,NA,5.5,"MWB",0.071,NA,44,17.556,NA,0.63,"USB000JJEK","US","US","US","Reviewed","2013"
"21890","09/06/2013","11:33:54",20.1721,122.3193,"Earthquake",175.23,3.7,NA,5.9,"MWW",NA,NA,22,2.874,NA,0.75,"USB000JJMY","US","US","US","Reviewed","2013"
"21891","09/07/2013","00:13:30",14.6056,-92.1207,"Earthquake",66,1.8,NA,6.4,"MWW",NA,NA,28,0.331,NA,0.98,"USB000JKMW","US","US","US","Reviewed","2013"
"21892","09/09/2013","21:41:33",1.3814,122.2235,"Earthquake",22.5,3.2,NA,5.6,"MWW",NA,NA,23,2.468,NA,1.34,"USB000JMSL","US","US","US","Reviewed","2013"
"21893","09/11/2013","12:44:13",-4.5472,-104.5783,"Earthquake",10.52,2.6,NA,6.1,"MWW",NA,NA,53,14.785,NA,0.66,"USC000JRID","US","US","US","Reviewed","2013"
"21894","09/14/2013","15:42:46",51.4389,-174.6365,"Earthquake",20,1.8,NA,5.9,"MWW",NA,NA,40,0.811,NA,1.24,"USC000JUE6","US","US","US","Reviewed","2013"
"21895","09/15/2013","16:21:37",51.5751,-174.716,"Earthquake",24.02,2.9,NA,6.1,"MWW",NA,NA,38,0.705,NA,0.83,"USC000JUWV","US","US","US","Reviewed","2013"
"21896","09/16/2013","07:24:49",-55.8129,-124.156,"Earthquake",10,1.7,NA,5.5,"MWC",NA,NA,72,29.962,NA,0.84,"USB000JY5L","US","US","US_GCMT","Reviewed","2013"
"21897","09/20/2013","12:24:46",22.9341,95.9607,"Earthquake",4,1.8,NA,5.7,"MWW",NA,NA,30,3.995,NA,0.44,"USB000JWLY","US","US","US","Reviewed","2013"
"21898","09/21/2013","01:39:16",-7.3308,120.0106,"Earthquake",549.92,3.3,NA,6.1,"MWW",NA,NA,34,2.315,NA,1.04,"USB000JX0M","US","US","US","Reviewed","2013"
"21899","09/21/2013","16:48:59",-33.5102,-178.0226,"Earthquake",10,1.8,NA,5.8,"MWW",NA,NA,27,5.031,NA,1.24,"USB000JX63","US","US","US","Reviewed","2013"
"21900","09/24/2013","07:22:51",7.3709,59.5384,"Earthquake",4,1.7,NA,5.5,"MWB",0.061,NA,23,12.632,NA,0.57,"USB000JYHD","US","US","US","Reviewed","2013"
"21901","09/24/2013","11:29:48",26.951,65.5009,"Earthquake",15,1.6,NA,7.7,"MWW",NA,NA,17,7.241,NA,0.93,"USB000JYIV","US","US","US","Reviewed","2013"
"21902","09/24/2013","11:36:28",27.2085,65.5674,"Earthquake",10.03,1,NA,5.8,"MB",0.054,NA,43,7.704,NA,0.79,"USB000JYJ7","US","US","US","Reviewed","2013"
"21903","09/24/2013","13:01:39",27.3125,65.6201,"Earthquake",14.48,1.3,NA,5.6,"MB",0.045,NA,21,7.513,NA,0.86,"USB000JYKM","US","US","US","Reviewed","2013"
"21904","09/24/2013","17:20:14",27.131,65.471,"Earthquake",10.52,1.9,NA,5.5,"MB",0.039,NA,21,7.307,NA,0.85,"USB000JYQJ","US","US","US","Reviewed","2013"
"21905","09/25/2013","06:51:25",-49.9585,-113.7439,"Earthquake",10,1.8,NA,6.1,"MWW",NA,NA,67,26.063,NA,1.31,"USB000JZ8J","US","US","US","Reviewed","2013"
"21906","09/25/2013","07:40:24",-50.0313,-113.9877,"Earthquake",10,1.8,NA,5.5,"MWC",NA,NA,41,37.874,NA,1.01,"USB000JZ9D","US","US","GCMT","Reviewed","2013"
"21907","09/25/2013","16:42:43",-15.8385,-74.5112,"Earthquake",40,1.8,NA,7.1,"MWW",NA,NA,17,4.446,NA,0.9,"USB000JZMA","US","US","US","Reviewed","2013"
"21908","09/26/2013","06:46:04",14.4361,-93.3857,"Earthquake",8.82,2.7,NA,5.5,"MWB",0.043,NA,82,1.181,NA,1.2,"USB000K036","US","US","US","Reviewed","2013"
"21909","09/28/2013","07:34:06",27.1825,65.5052,"Earthquake",12,1.7,NA,6.8,"MWW",NA,NA,17,7.359,NA,0.91,"USB000K1GB","US","US","US","Reviewed","2013"
"21910","09/28/2013","11:13:47",-16.5507,-173.8364,"Earthquake",58.94,4.5,NA,5.5,"MWC",NA,NA,21,3.293,NA,0.58,"USB000K1IL","US","US","GCMT","Reviewed","2013"
"21911","09/30/2013","05:55:55",-30.9255,-178.3234,"Earthquake",41.54,3.1,NA,6.5,"MWW",NA,NA,21,1.709,NA,0.82,"USB000K2H2","US","US","US","Reviewed","2013"
"21912","09/30/2013","08:16:09",49.4947,-28.5247,"Earthquake",10,1.7,NA,5.5,"MWC",NA,NA,22,14.319,NA,0.73,"USB000K2IT","US","US","GCMT","Reviewed","2013"
